Model                                         | Scenario |        Extra |    N |   Accuracy
------------------------------------------------------------------------------------------
anthropic-claude-opus-4.6_think               |        7 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        7 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        7 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        7 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       10 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       10 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       10 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       10 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6_think               |       11 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       11 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       11 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       11 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       12 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       12 |   Event Load |    1 |       0.0%
anthropic-claude-opus-4.6_think               |       12 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       12 |     ECT Load |    1 |       0.0%
anthropic-claude-opus-4.6_think               |       13 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       13 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       13 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       13 |     ECT Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       14 |   Min Events |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       14 |   Event Load |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       14 |      Min ECT |    1 |     100.0%
anthropic-claude-opus-4.6_think               |       14 |     ECT Load |    1 |     100.0%
